gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7390687575600552,0.10364924961015765,-2.891578443034796,0.13879916875637843,-0.8912913338303872,-3.3760815033778826,0.1175452477873361,0.7397017569575193
13,0.813693656122275,0.5435048202445779,0.9247089044790306,0.8201612079183153,0.6329751077253049,0.7959247614895705,0.8343610244625523,0.8152975094612189
20,0.8037225676710043,0.9132292972049817,0.95301466960656,0.933923526930528,0.7498910367941425,0.9019183251552444,0.8660258068363839,0.7970440907158312
40,0.7725363282632546,0.9440871018054471,0.9685967582251325,0.9705150795862775,0.830882618357415,0.9020924132221307,0.9100319759909546,0.7373083785881761
