gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
10,0.1809,0.4828,0.4566,0.4229,0.1205,0.1973,0.0328,0.1845
20,0.0822,0.5926,0.4691,0.5398,0.1310,0.2530,-0.0101,0.0857
30,0.0359,0.6434,0.3694,0.4474,0.0613,0.1785,-0.0476,0.0458
45,0.0084,0.4771,0.1871,0.2143,0.0141,0.0616,-0.0173,0.0078
