gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.2507181228833182,0.263807459479943,-0.7500161188686181,0.06771720112789548,-0.06470549085028465,-0.04843668149521596,-0.4390374544669975,0.25079655069822104
13,0.3113400399114762,0.681786110749778,0.5212789380026838,0.7281815911371285,0.12565148826505035,0.5009694752357523,0.3471792548957592,0.30643759082046795
20,0.3624831289061947,0.7088378570300191,0.7346286347012947,0.7793263545642051,0.25450502647344275,0.5842911675371703,0.35722382934388996,0.35188135614952254
40,0.2195813689787719,0.7248997141615681,0.8304477444946535,0.8318168324154827,0.2907959063164227,0.6340053629823539,0.4545220804898771,0.15840826565915278
