gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.17973132963267469,-0.040158822147382756,-4.877569357751499,-17.56077357922023,-4.447655987295203,-0.7475537449099761,-0.40268082363583013,0.18079046574583924
13,0.25013578593892716,-5.457638368390723,0.03721047547809364,-1.2502361684221865,0.12358946938504112,-0.1565379797292621,0.2152037815228901,0.27954223393917654
20,0.2838421032637115,0.30629298829212903,0.4060679207425777,0.17992264771051747,0.2751176193602155,0.16411365601697658,0.33819306275880745,0.28514147392481837
40,0.39861465150359643,0.38742035392887264,0.5892705886253269,0.5297378497896745,0.4372117341649564,0.25466531690177896,0.4898415236192024,0.39173268349988244
