encoder,suite,n_seeds,seeds,mean_success_rate,std_success_rate,se_success_rate,n_episodes_per_seed,n_episodes_total
comp-mae-s,libero_goal,3,"0,1,2",0.8107,0.0061,0.0035,500,1500
comp-mae-s,libero_object,3,"0,1,2",0.8313,0.0645,0.0372,500,1500
comp-mae-s,libero_spatial,3,"0,1,2",0.642,0.0271,0.0156,500,1500
plain-xmae-s,libero_goal,3,"0,1,2",0.7927,0.0145,0.0084,500,1500
plain-xmae-s,libero_object,3,"0,1,2",0.8907,0.022,0.0127,500,1500
plain-xmae-s,libero_spatial,3,"0,1,2",0.628,0.057,0.0329,500,1500
