task_id,demo,T,rho
0,demo_0,98,0.5776192388858072
0,demo_1,84,0.578333502075529
0,demo_10,93,0.6111127689415414
0,demo_11,128,0.33984160410181286
0,demo_12,86,0.5286381433086467
