gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.43701010383723327,-0.6826674609673993,-3.6852338764661674,0.38335261202349213,-0.30233153369355525,-0.17515150634184162,-0.08234916053867569,0.43718207733414105
13,0.602865802769798,0.8199064185615992,0.9100487177729105,0.8773014957934347,0.40690082110716597,0.6029309491793056,0.40959875188116635,0.6017078415540569
20,0.6001034325483592,0.8308382585127676,0.9419475269102884,0.9150269647397846,0.44373181441429155,0.6675354263710657,0.508951082295267,0.5946906227808426
40,0.3638688716093498,0.8592454200247639,0.9692776947135731,0.9355908854706292,0.5371655730744971,0.7486916214764683,0.580836853008032,0.3041897501908939
