epoch,mode,r2,mse,cosine_sim,train_samples,eval_samples,embed_dim,source_file
12,patch_mean_concat_enc_d_prime,0.1527742472719329,0.0012778210220858455,0.23661161959171295,180921,40914,1536,probe_v11_checkpoint_epoch0012_patch_mean_concat_enc_d_prime_gap10_test_20260425_232930.json
12,patch_mean_concat_enc_only,0.20031039945471396,0.001206125016324222,0.22036691009998322,180921,40914,1536,probe_v11_checkpoint_epoch0012_patch_mean_concat_enc_only_gap10_test_20260425_232929.json
12,patch_mean_concat_enc_phase3,0.21904602394550565,0.0011778671760112047,0.2315194308757782,180921,40914,1536,probe_v11_checkpoint_epoch0012_patch_mean_concat_enc_phase3_gap10_test_20260425_232930.json
12,patch_mean_concat_p_enc_d_prime,0.07624612290007782,0.0013932439032942057,0.16629894077777863,180921,40914,1536,probe_v11_checkpoint_epoch0012_patch_mean_concat_p_enc_d_prime_gap10_test_20260425_232930.json
12,patch_mean_m_enc,0.2082689735909743,0.0011941215489059687,0.2320900559425354,180921,40914,768,probe_v11_checkpoint_epoch0012_patch_mean_m_enc_gap10_test_20260425_232927.json
12,patch_mean_p_enc,2.505703847199836e-05,0.0015082036843523383,0.03441475331783295,180921,40914,768,probe_v11_checkpoint_epoch0012_patch_mean_p_enc_gap10_test_20260425_232927.json
12,patch_mean_p_features_tk,0.0538874497667009,0.0014269661623984575,0.1167328730225563,180921,40914,768,probe_v11_checkpoint_epoch0012_patch_mean_p_features_tk_gap10_test_20260425_232928.json
12,patch_mean_p_state_after_routing,0.07161189123931,0.0014002334792166948,0.17402639985084534,180921,40914,768,probe_v11_checkpoint_epoch0012_patch_mean_p_state_after_routing_gap10_test_20260425_232928.json
16,cls_concat_enc,0.13918229242482227,0.001298320945352316,0.19083574414253235,180921,40914,1536,probe_v11_checkpoint_epoch0016_cls_concat_enc_gap10_test_20260426_165020.json
16,cls_m_enc,0.16309081976034256,0.0012622610665857792,0.22878751158714294,180921,40914,768,probe_v11_checkpoint_epoch0016_cls_m_enc_gap10_test_20260426_165008.json
16,cls_p_enc,-0.010389765381277227,0.0015239117201417685,0.038189467042684555,180921,40914,768,probe_v11_checkpoint_epoch0016_cls_p_enc_gap10_test_20260426_165009.json
16,patch_mean_concat_all,0.22261604619897313,0.0011724827345460653,0.24032452702522278,180921,40914,2304,probe_v11_checkpoint_epoch0016_patch_mean_concat_all_gap10_test_20260426_165012.json
