gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.8041089925420716,0.34390945325621614,-0.4263646313976981,0.48283444477143667,-0.06120340923051959,-0.3607245606059004,-0.9686223813798742,0.8043137484406133
13,0.8002691373683789,0.8745706122232778,0.7958918004313336,0.9282082102536473,0.364464903975494,0.7711137902278828,0.7268010585423149,0.801253855017553
20,0.7689766153583473,0.8765859514527304,0.8435287965851279,0.9482733535142887,0.4108137608972363,0.8275003513501141,0.8022971006347005,0.7666555113849289
40,0.6644731661629568,0.8767822814499084,0.8838864823886573,0.9552767108822842,0.5374750731946315,0.8537195799834839,0.8861809202481825,0.6327347275308709
