gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
10,0.0270,0.3246,0.2428,0.3191,0.0831,0.0518,-0.0598,0.0267
20,0.0269,0.5384,0.4664,0.4390,0.0654,0.2176,-0.0134,0.0190
30,0.0123,0.4335,0.2742,0.2953,-0.0468,0.0934,-0.0578,0.0096
45,-0.0442,0.3236,0.1889,0.1544,-0.0887,-0.1435,-0.0985,-0.0446
