gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7766145150965896,-0.4159765009696985,0.25581806565379717,-0.08336427186891648,-0.9703980849721934,0.2988537916002957,-0.30324583535730665,0.7767978475364125
13,0.7640290266284819,0.8913357264564623,0.817351971009151,0.8509877344874015,0.3295958257428191,0.8706899802440122,0.5419476963905612,0.7651643137045798
20,0.7346202729868111,0.9098684184292913,0.8219449236577191,0.901708992639477,0.37039540059843934,0.8682621433581611,0.5852198942033517,0.7341214445408699
40,0.5950893156922779,0.9012189437161675,0.8680372176266913,0.9059365169791339,0.3996629352519646,0.7859260994944612,0.7176837893673217,0.5679614493735174
