gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
10,0.1530,0.4928,0.4450,0.5427,0.1079,0.1855,-0.0226,0.1570
20,0.0689,0.4817,0.4070,0.4757,0.1314,0.2447,-0.0607,0.0781
30,0.0216,0.5378,0.3824,0.2959,0.1001,0.1353,-0.0451,0.0280
45,0.0026,0.3149,0.2332,0.2409,0.0111,0.0671,-0.0334,0.0115
