gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.6401967371470065,-1.7503482570068187,-7.695357970045926,-3.944035252193486,-7.025258406937279,-3.3184345262231263,0.3617963443953932,0.6413119006654346
13,0.6769298276447233,0.49093000246623475,0.7163755694887575,0.6678795200189539,0.5514005494275154,0.5448667194118517,0.4402401850625681,0.6845453158483721
20,0.6868452026947565,0.47692260055081626,0.8730294366210988,0.7585590098662414,0.6368035184319152,0.5690039757188151,0.6576439296500878,0.69145697197421
40,0.68374014642311,0.7843472957280888,0.8870912729096868,0.9086222117899297,0.7367233818701239,0.665108664629819,0.7901342893283514,0.6629020588676157
