gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7775644428489725,-86.0079261529793,-13.424683315712873,-14.538306052199953,-4.490807764493426,-7.100967014837204,-0.809811076722901,0.7811927558285686
13,0.7943716342833868,-0.13227901449560253,-0.9794251744579574,0.5463981700060734,0.3659614142673131,0.1373079069238815,0.6824814333619098,0.8154649219715779
20,0.7940843990548693,0.6618152979798624,0.7145717842252967,0.8532659400361161,0.5306478415418892,0.6073219084863033,0.751370433361386,0.8051163293813999
40,0.7809617449861144,0.813277640114564,0.8531651830461849,0.8924324540159587,0.7045825822226752,0.829632667755125,0.8382926525885088,0.7705879141427694
