gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.36786496559323245,0.16318851654168987,-0.14294402996552558,0.3971193855356788,-0.7625815038428492,0.14669422688206013,0.2964983600527902,0.3679182983175425
13,0.5491831636659339,0.787276482272522,0.8813206972054252,0.825309163183599,0.3881842128690489,0.6516882307913499,0.4197613495444331,0.5467399242070905
20,0.568732284833416,0.8144980706636314,0.9316693481466825,0.8953025708823446,0.36725760128730134,0.7021711793555212,0.5019212019354813,0.5621645565021205
40,0.3378763717088281,0.8570417101815181,0.9625596319205386,0.9306451378948835,0.4932975719396471,0.7356429981270207,0.5821674121224951,0.27510336336013363
