gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.36088242152940164,-0.29660427886024743,-10.752496382331522,-0.47295761812853776,-6.954806120368133,-0.45585052089893097,-12.557248608642519,0.3619260810457604
13,0.3514024794765418,0.3293618953103111,0.13356020919085243,0.5202650122820393,-4.7082138947107666e-05,0.46220227310183803,0.27880643341316313,0.35203282933429725
20,0.30637084219251554,0.437991502761918,0.7649509622453412,0.6220456331210336,0.16149389838253592,0.4075863827560643,0.29698405154426355,0.2991713926441739
40,0.2322172555439339,0.41026610302517286,0.8468706265362886,0.7007698575042821,0.2958242464576729,0.43179998261431374,0.40902147048669246,0.1874229150061829
