gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.37718604552282564,-0.2410681858245245,0.4953255443599144,-0.0586431115295003,-0.23304570759401333,-0.020355683400385072,-0.2979698853916286,0.37723824360445135
13,0.5706166599769281,0.6591132990332829,0.8469873848069924,0.8578173006222773,0.24546833404697777,0.4409354322445186,0.18168855078865198,0.5701117176161024
20,0.5465601867099854,0.7069396918292281,0.8792776640034161,0.9018675786934592,0.26785011567267747,0.5567929832363938,0.25175816429512554,0.5416906884557842
40,0.471922185099764,0.5038980426061214,0.9280316377259092,0.9498712909693973,0.25069308457160244,0.5872847928847046,0.24815333168391063,0.44594917508885557
