gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7582584296078059,-2.5984871582490214,0.06354779180402104,-0.9333967894024706,0.3141291485911084,0.30874764792223863,-0.09263971604682841,0.7585607052663631
13,0.803753701109948,0.8239894820194689,0.8015240380146087,0.948829079692439,0.6571723333113045,0.6060994185316688,0.8383758924387676,0.805997748444075
20,0.8055302942527592,0.9220208684955745,0.912733847772019,0.9654698463617543,0.8004337021823018,0.8728079657296373,0.8593669103304228,0.7991479709954564
40,0.7878520354244036,0.8714062641657193,0.9530587122404375,0.9662088080948877,0.8785410824175678,0.9299830374914978,0.8932016898471742,0.7558233865760371
