gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.4908345099240804,0.056531214533019014,0.12097105173322498,0.20821332954567706,-0.21515540471274353,-2.657169641991383,-1.5221499696037797,0.49113048028874895
13,0.6070516206255809,0.7807011065720313,0.8675690986200033,0.8682601403738635,0.40374284900868085,0.6199855588532752,0.16099816159716407,0.607968520631011
20,0.6059303036345491,0.807045017049827,0.9203590157281942,0.9085447584394157,0.35855384695638703,0.681199692840764,0.5434722929414681,0.6009582328989239
40,0.3896887481288398,0.836874664909377,0.9606763383455973,0.9047962793862177,0.6472695897915239,0.7278170086097233,0.6517046046293264,0.3295247961023663
