gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7358285938750315,-0.28255928179340484,0.24068099474260485,0.6592348253100614,-1.2653676930423745,-0.0600128908296631,-6.952380429050579,0.7361015203964807
13,0.7479380915661575,0.705592400635251,0.9242598800185717,0.8874495789317909,0.2178317150839787,0.4670032688775053,0.3073128697925315,0.7499786952305467
20,0.7260890774074136,0.7224301578236259,0.9385573789841075,0.8919108563549496,0.2488403933944825,0.5103816178585978,0.3390036313907122,0.7280742580183253
40,0.6554436566009868,0.7435982112643638,0.9602061893799878,0.9472243684140115,0.3184047765809792,0.6282318353824092,0.36864481936927174,0.6451282047062827
