gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.36028051608910294,-1.1419376083864026,-6.934160154766777,-2.355712161459044,-0.3617038378969353,-0.12178439500791849,-11.347472781011799,0.3611218544883037
13,0.3729422655132165,0.5084927875143597,0.661071532293366,0.539914828598571,-0.004573080995475376,0.2543109841633958,0.2766772994460692,0.37320348279121995
20,0.32526268780944945,0.49610822120220877,0.7357128676091563,0.5483109338310813,0.14001922688776747,0.3650425522202141,0.28241272249321925,0.320462890320491
40,0.241506068147873,0.5275442955142962,0.8375317461382499,0.708444867508312,0.23699800517576808,0.4498553909223846,0.4098358212118145,0.1971274830860671
