gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.15898968658046753,0.2936537031691302,0.3254831689184282,0.28618073968457913,-0.15390259402205997,0.20677499714202463,0.34455576158339785,0.15896860913763955
13,0.2108766765369855,0.36146325791439105,0.3759370775637524,0.23698857855396416,0.2918175787926278,0.22982177872968657,0.33828954530721045,0.20673373865731626
20,0.24449224837529626,0.3898123480352663,0.581944546749716,0.45394047860016107,0.3599973562792943,0.22621530422167513,0.4443420034030291,0.23087578066667847
40,0.3305813034301508,0.47859882120920894,0.7093241817406074,0.6626600557225419,0.43141761222920627,0.2834694306439631,0.4742439417507778,0.30114854773156263
