gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.11307382715443148,-104.56888991339989,-0.10666272978172908,-0.003753851757624327,-1.4011429176814914,-17.344238764262837,-1.8408498086502627,0.11467568820940555
13,0.10152401334183825,-0.07793893143293285,0.09861445243951039,0.06450478913761237,0.026800833033203686,0.08194859773791419,-0.345308979083617,0.10387813867737405
20,0.0742692919161353,0.11149037529977168,0.18443343193413242,0.03874903191842238,0.015764712602564734,0.10576724632415946,-0.010080245718689707,0.07382028924042383
40,0.04705496277254584,0.10606063838349877,0.2616398980689827,0.05097381701469095,-1.1960980606784006,0.030164044052349848,-0.0759059836113658,0.049908617660584964
