gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.47255417213386497,0.1014315232742029,0.5313181477402804,0.5044411504245336,-1.377795779365516,-3.356893292519728,-0.7016376274709482,0.47272356883310973
13,0.6933222506333893,0.7435823035394025,0.953723390409213,0.9346148918064477,0.36004274790792146,0.5842667651080279,0.27446779401115673,0.6932230149382144
20,0.6894984146285743,0.795750074113456,0.9719716235819258,0.9517709969157533,0.35929016990719076,0.6565503318665304,0.29076242143447517,0.6876412834912834
40,0.5989344718228875,0.7202968436164146,0.9888186570749455,0.9743390570718558,0.34754752667860234,0.5862198676634962,0.3580271498342217,0.5808197208908117
