gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.607474337611799,-1.2183491475262493,0.4458589573873283,0.5093310085404854,-0.9272457033659927,0.01923460125062537,0.19596857294915127,0.6076064802920405
13,0.5632746222514222,0.7048810174287979,0.8054862788244627,0.7760874355206494,0.31987454059549936,0.4814934885769868,0.37512137718273486,0.5634515929387365
20,0.5405159489327511,0.7495109755428334,0.853700807506098,0.8238679029531768,0.33119043102397117,0.4974227242367063,0.3674796327589097,0.5384387025086963
40,0.3243542605377828,0.798883415753345,0.9133493920750241,0.8912452029484714,0.4291126577301222,0.6033409571310211,0.5129216999213754,0.27072330032674385
