gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.34638188291568417,-2.6749030157477267,-7.210570614667304,0.0862710333151564,-0.74495138900931,-1.63886730083895,-0.34703517815105767,0.34688837122575944
13,0.4081018514555037,0.39234796717308495,0.47949324575211394,0.3983815930344944,0.2392341470373589,0.29947488422639446,0.018730921795127364,0.4181396989695345
20,0.42036456172096315,0.46524106533625664,0.6573757711649677,0.3911727511129207,0.4391608787165363,0.31041513404899457,0.517680593290267,0.4179349033243158
40,0.5225265109676174,0.5637744135791916,0.7928275575139134,0.6971390491248586,0.5788218934440174,0.46148716116243493,0.6539582419196782,0.5022092872614087
