gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.6575028937764527,-6.46942385011982,-10.91509409918005,0.31520420739957444,-1.0962217508663468,-0.5255093252814789,-0.7754078276178371,0.6580466972177341
13,0.6051023218415463,0.7231554027223963,0.8209259915452164,0.8195431506539765,0.3450017984184387,0.5556245053980919,0.3673179452762838,0.605633995773502
20,0.570718340961857,0.7936674648219557,0.7766754030332108,0.8678630939961551,0.20537086685919292,0.5630940670431053,0.38788905425588316,0.5696960101922732
40,0.39762910159774345,0.8207682964778333,0.9167019824596923,0.8956725610611326,0.5039037137941034,0.6268190915418911,0.49443010313839797,0.35511024378591804
