gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.818311009917436,-34.76368298817971,-13.75382108370118,-5.91648132155304,-17.266937497715823,-7.6781578665333505,-11.556484136159943,0.8210444724904673
13,0.802298758455372,0.5451168544810836,0.6105924741863931,0.8306909452890495,-0.014469523825177522,0.3927121484803522,0.3555688374699717,0.8113382932311827
20,0.7749378130838398,0.6933124634310979,0.784163611366495,0.9109125825188773,0.21756031037347368,0.5178773953188329,0.476381071441628,0.7841744284895501
40,0.6528505160430333,0.7141672527513478,0.8247878457133913,0.7577523369680197,0.373021330800537,0.5479583888082409,0.6297258638495058,0.6536643844063695
