gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7658660938354063,0.13084860233876494,0.5171662343636949,-3.153912683452946,-7.857543990999533,-0.22415867000517187,-2.242335216134523,0.7662096901752377
13,0.8138405818120105,0.5537864869201148,0.9480279287589349,0.9629120946294435,0.5620841820551181,0.7983272998827304,0.7781497067715202,0.8133359343614108
20,0.7824809943906873,0.8358936315083938,0.9767066959738617,0.985327589438384,0.6643964457706147,0.85535303743409,0.8375336574206614,0.7772983484488786
40,0.6950208516996709,0.9039277975117265,0.9682546186548145,0.9918942649601423,0.7747951482459777,0.9012209147618357,0.8463788612428325,0.6669181338005254
