gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.4166503428016819,-0.2070870024476219,-1.9787298226696906,-3.3355459377855956,-6.045243399224977,-0.23147033327412125,-10.27269861304072,0.41752152845504575
13,0.43047633348629866,0.5462452647768703,0.6878182500179411,0.5143675147216353,0.1371760936934644,0.4884188668197158,0.11217105845630149,0.43165576341024614
20,0.3906787254780081,0.5583815163834831,0.7325718484204633,0.675161425047494,0.2224339212987454,0.46498287367239577,0.30458448004838035,0.3859188193291353
40,0.2472092419221209,0.3534160876212227,0.8183581964699311,0.7490100078812243,0.2390945815582809,0.45178054924788,0.3996021075230316,0.20625543361220733
