dim,name,cos_Wt_negWtk,sign_match_Wt_negWtk,norm_Wt,norm_Wtk
0,Δx,0.6087965128082271,0.68359375,3.210315465927124,3.6976869106292725
1,Δy,0.6727478926504676,0.7356770833333334,2.4317619800567627,2.3572943210601807
2,Δz,0.7878768641061771,0.7838541666666666,3.580613136291504,3.6427648067474365
3,Δrx,0.5913133575004786,0.68359375,5.8114519119262695,6.523681640625
4,Δry,0.17644206493367362,0.51171875,7.222252368927002,8.563911437988281
5,Δrz,0.750531234442743,0.75390625,6.774651050567627,6.794301509857178
6,grip,-0.10250001593161219,0.44921875,25.190580368041992,18.62767791748047
