gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.23400587387977867,0.24359926287861178,-0.10011709320172191,-0.3948348880650372,-0.2575034659855129,-0.9599165540553458,-0.03705715652680319,0.23408558248290112
13,0.39800557891526545,0.635329514613457,0.8261474657855022,0.835289092728369,0.1633678222202658,0.44296677752821423,-0.042203200591440115,0.39511023325209227
20,0.4610651794570757,0.6796486883651753,0.8719883566555986,0.881964876360056,0.13002186202625865,0.5599859554609216,0.1951498136662697,0.453667193735635
40,0.3964637060743308,0.630214872223958,0.9183004030309659,0.9292510338731268,0.21645590349524557,0.5773986958624966,0.229140066951662,0.36236015866507776
