gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.5620997833031568,-7.706304291765015,-13.94400564768184,-0.33598656089155554,-0.15025256961594624,0.25720206617448715,0.44633790264473816,0.5625827424394707
13,0.6583867747585169,0.6602438257616522,0.32012824756638447,0.8259630518141745,0.5269777287865763,0.48471732032744874,0.6414386557301164,0.6618464180536126
20,0.6648703729112888,0.7534870536041115,0.8387092054650604,0.8974144896083596,0.6451016096783133,0.6223116891229454,0.6885106983178139,0.6620163672455583
40,0.6398095188503766,0.841469356698187,0.930108600003404,0.9381723381652777,0.7531589681016339,0.7341787254816079,0.7599827131154158,0.6039322063499277
