gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.654937907122514,-0.047179937742425127,0.4479315776171773,0.7495394668989228,0.02428998375764113,-1.2352698896306542,0.10576843049496887,0.655027651598594
13,0.6555659221400296,0.7193312910729723,0.946397660328849,0.899636356845468,0.32219508094282145,0.5308468123173917,0.29265534419035444,0.6551177108304582
20,0.6460742093307958,0.7498107268202523,0.9532413276599094,0.9236625702805155,0.37213694520741425,0.5847020173733105,0.31752078121901517,0.6432650074466784
40,0.554518266474809,0.7401897843710177,0.9636563977831187,0.9449201759713335,0.3310341424223706,0.7206636101729755,0.35041644147348683,0.5304343667257696
