gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.6896986473577404,-36.57299170624662,-5.6872094345930675,-100.14627826277018,-51.789568260802305,-11.79918631860592,-22.124267585472168,0.6949869519085572
13,0.7842653185287152,-0.39544339940956386,0.7088055825937118,0.9055561814085168,-0.09735152655746404,0.40331080419790455,0.33560941206232286,0.7903093964923606
20,0.7387535333140993,0.2990702556994471,0.9412391248191908,0.789784317276424,-0.548380168946847,0.6386248259677954,0.3420191470429538,0.7446883050743272
40,0.6408874526007504,0.6532400804387206,0.872839351861816,0.7786445447051041,0.0038717785410461447,0.7372081113343185,0.5410100095861625,0.6329838657875857
