mode,gap,r2,mse,cosine_sim,source_file
patch_mean,1,-0.005705230130516714,0.08540795743465424,-0.043612029403448105,probe_droid_videomae_patch_mean_gap1_20260425_234035.json
patch_mean,10,-0.006143276800971265,0.7338917255401611,-0.03215528279542923,probe_droid_videomae_patch_mean_gap10_20260426_000007.json
patch_mean,15,-0.03499481845824204,0.4036949574947357,0.0040747057646512985,probe_droid_videomae_patch_mean_gap15_20260426_003723.json
patch_mean,30,-0.02791933135151914,0.7114264369010925,-0.031048646196722984,probe_droid_videomae_patch_mean_gap30_20260426_003227.json
