gap,r2_aggregate,r2_dim0,r2_dim1,r2_dim2,r2_dim3,r2_dim4,r2_dim5,r2_dim6
1,0.7789411747249122,-5.102207664292582,-1.2299851224673164,0.3255735011727545,-1.0975791537137165,0.04449575274956685,-0.47006769381448166,0.7792641097997628
13,0.7787326559935692,0.9048469614315076,0.9129345284354106,0.9430038697322238,0.28474377286743346,0.8868430947378839,0.6058856522223132,0.7790375653445478
20,0.7545686074607432,0.9429688245499837,0.9408161972159833,0.9571470493401208,0.49905596433788835,0.8915318990044888,0.6484566271899812,0.7516894845705457
40,0.6250416461964385,0.9499250486714209,0.9683944619774532,0.9683079031351078,0.6385079587028863,0.8751465032458369,0.7687150276468344,0.5893736122834448
